Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
304,Michael McGovern,Michael-McGovern,NIR,GK,Norwich City,35,1984,2,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
305,Kenny McLean,Kenny-McLean,SCO,MF,Norwich City,27,1992,37,32,2968,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.5,1.5,2.2,0.05,0.07,0.11,0.05,0.11,2019/2020
306,Dwight McNeil,Dwight-McNeil,ENG,MF,Burnley,19,1999,38,38,3338,2,6,0,0,5,0,0.05,0.16,0.22,0.05,0.22,2.1,2.1,6.6,0.06,0.18,0.23,0.06,0.23,2019/2020
307,Scott McTominay,Scott-McTominay,SCO,MF,Manchester Utd,22,1996,27,20,1772,4,1,0,0,2,0,0.2,0.05,0.25,0.2,0.25,1.5,1.5,0.7,0.08,0.03,0.11,0.08,0.11,2019/2020
308,Ben Mee,Ben-Mee,ENG,DF,Burnley,29,1989,32,32,2880,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.7,1.7,0.7,0.05,0.02,0.08,0.05,0.08,2019/2020
309,Benjamin Mendy,Benjamin-Mendy,FRA,DF,Manchester City,25,1994,19,18,1492,0,2,0,0,3,0,0,0.12,0.12,0,0.12,0.3,0.3,1.3,0.02,0.08,0.1,0.02,0.1,2019/2020
310,Nampalys Mendy,Nampalys-Mendy,FRA,MF,Leicester City,27,1992,7,4,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03,0.04,0,0.04,2019/2020
311,Chris Mepham,Chris-Mepham,WAL,DF,Bournemouth,21,1997,12,10,912,1,0,0,0,1,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0.1,0.07,0.01,0.07,0.07,0.07,2019/2020
312,Max Meyer,Max-Meyer,GER,MFFW,Crystal Palace,23,1995,17,6,655,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.7,0.08,0.1,0.18,0.08,0.18,2019/2020
313,Luka Milivojević,Luka-Milivojevic,SRB,MF,Crystal Palace,28,1991,31,28,2513,3,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07,2.5,1,1.8,0.09,0.06,0.15,0.03,0.1,2019/2020
314,James Milner,James-Milner,ENG,MFDF,Liverpool,33,1986,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38,0,0.19,2.1,0.6,0.7,0.2,0.07,0.27,0.06,0.12,2019/2020
315,Yerry Mina,Yerry-Mina,COL,DF,Everton,24,1994,29,25,2284,2,1,0,0,3,0,0.08,0.04,0.12,0.08,0.12,2.5,2.5,0.2,0.1,0.01,0.11,0.1,0.11,2019/2020
316,Takumi Minamino,Takumi-Minamino,JPN,FWMF,Liverpool,24,1995,10,2,249,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0,0.52,0.01,0.53,0.52,0.53,2019/2020
317,Tyrone Mings,Tyrone-Mings,ENG,DF,Aston Villa,26,1993,33,33,2902,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,0.7,0.03,0.02,0.05,0.03,0.05,2019/2020
