Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
428,Kyle Walker,ENG,DF,Manchester City,30,1990,12,11,993,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,0.2,0.2,0.3,0.02,0.03,0.04,0.02,0.04,2020/2021
429,Kyle Walker-Peters,ENG,DF,Southampton,23,1997,15,15,1349,0,1,0,0,3,0,0,0.07,0.07,0,0.07,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,2020/2021
430,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,12,12,1080,1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0.3,0.3,0.3,0.02,0.03,0.05,0.02,0.05,2020/2021
431,Joel Ward,ENG,DF,Crystal Palace,31,1989,7,7,630,0,1,0,0,3,0,0,0.14,0.14,0,0.14,0,0,0.3,0.01,0.04,0.05,0.01,0.05,2020/2021
432,James Ward-Prowse,ENG,MF,Southampton,26,1994,15,15,1350,4,3,0,0,3,0,0.27,0.2,0.47,0.27,0.47,0.8,0.8,1.6,0.06,0.11,0.16,0.06,0.16,2020/2021
433,Ollie Watkins,ENG,FW,Aston Villa,24,1995,14,14,1260,6,2,1,2,1,0,0.43,0.14,0.57,0.36,0.5,8.4,7,1.5,0.6,0.11,0.71,0.5,0.61,2020/2021
434,Adam Webster,ENG,DF,Brighton,25,1995,14,14,1260,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.1,0.05,0.01,0.06,0.05,0.06,2020/2021
435,Danny Welbeck,ENG,FW,Brighton,30,1990,9,7,621,2,0,0,0,0,0,0.29,0,0.29,0.29,0.29,2.5,2.5,0.6,0.36,0.08,0.45,0.36,0.45,2020/2021
436,Timo Werner,GER,FW,Chelsea,24,1996,16,15,1267,4,4,0,0,0,0,0.28,0.28,0.57,0.28,0.57,6.5,6.5,2.3,0.46,0.16,0.63,0.46,0.63,2020/2021
437,Ashley Westwood,ENG,MF,Burnley,30,1990,14,14,1260,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.3,0.3,2.5,0.02,0.18,0.2,0.02,0.2,2020/2021
438,Ben White,ENG,DFMF,Brighton,23,1997,15,15,1309,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,2020/2021
439,Georginio Wijnaldum,NED,MF,Liverpool,30,1990,15,14,1239,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,1.8,1.8,1,0.13,0.07,0.2,0.13,0.2,2020/2021
440,Brandon Williams,ENG,DF,Manchester Utd,20,2000,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
441,Neco Williams,WAL,DF,Liverpool,19,2001,4,2,173,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.08,0.11,0.03,0.11,2020/2021
442,Rhys Williams,ENG,DF,Liverpool,19,2001,2,1,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.14,0.17,0.03,0.17,2020/2021
443,Willian,BRA,FWMF,Arsenal,32,1988,12,12,882,0,3,0,0,0,0,0,0.31,0.31,0,0.31,1.1,1.1,1.1,0.11,0.11,0.22,0.11,0.22,2020/2021
444,Joe Willock,ENG,MF,Arsenal,21,1999,5,2,223,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.08,0.02,0.1,0.08,0.1,2020/2021
445,Callum Wilson,ENG,FW,Newcastle Utd,28,1992,12,12,1057,8,3,4,4,2,0,0.68,0.26,0.94,0.34,0.6,7.2,4.1,1.1,0.61,0.1,0.7,0.35,0.45,2020/2021
446,Harry Winks,ENG,MF,Tottenham,24,1996,6,4,374,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,2020/2021
447,Chris Wood,NZL,FW,Burnley,29,1991,14,14,1198,3,0,0,0,0,0,0.23,0,0.23,0.23,0.23,5.5,5.5,0.5,0.41,0.04,0.45,0.41,0.45,2020/2021
448,Granit Xhaka,SUI,MFDF,Arsenal,28,1992,11,10,816,1,0,0,0,2,1,0.11,0,0.11,0.11,0.11,0.4,0.4,0.1,0.05,0.02,0.06,0.05,0.06,2020/2021
449,Andriy Yarmolenko,UKR,FWMF,West Ham,31,1989,7,0,158,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.11,0.31,0.42,0.11,0.42,2020/2021
450,DeAndre Yedlin,USA,DF,Newcastle Utd,27,1993,3,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.04,0.01,0.04,2020/2021
451,Wilfried Zaha,CIV,FW,Crystal Palace,28,1992,14,14,1250,8,2,2,2,3,0,0.58,0.14,0.72,0.43,0.58,5.3,3.8,1.7,0.38,0.12,0.5,0.27,0.39,2020/2021
452,Andre-Frank Zambo Anguissa,CMR,MF,Fulham,25,1995,15,13,1194,0,2,0,0,2,0,0,0.15,0.15,0,0.15,1,1,1.2,0.07,0.09,0.16,0.07,0.16,2020/2021
453,Andi Zeqiri,SUI,DF,Brighton,21,1999,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.39,0,0.39,0.39,0.39,2020/2021
454,Oleksandr Zinchenko,UKR,DF,Manchester City,24,1996,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
455,Hakim Ziyech,MAR,FW,Chelsea,27,1993,7,5,388,1,3,0,0,1,0,0.23,0.7,0.93,0.23,0.93,0.3,0.3,2,0.08,0.46,0.54,0.08,0.54,2020/2021
456,Kurt Zouma,FRA,DF,Chelsea,26,1994,14,14,1260,4,0,0,0,1,0,0.29,0,0.29,0.29,0.29,0.9,0.9,0,0.07,0,0.07,0.07,0.07,2020/2021
