Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
44,Ashley Barnes,ENG,FWMF,Burnley,31,1989,11,8,706,1,0,0,0,2,0,0.13,0,0.13,0.13,0.13,1.7,1.7,0.4,0.22,0.05,0.26,0.22,0.26,2020/2021
45,Harvey Barnes,ENG,FWMF,Leicester City,23,1997,15,12,1100,5,1,0,0,0,0,0.41,0.08,0.49,0.41,0.49,3,3,0.3,0.24,0.02,0.27,0.24,0.27,2020/2021
46,Kyle Bartley,ENG,DF,West Brom,29,1991,8,8,720,1,0,0,0,1,0,0.12,0,0.12,0.12,0.12,1.1,1.1,0,0.14,0,0.14,0.14,0.14,2020/2021
47,Chris Basham,ENG,DF,Sheffield Utd,32,1988,15,15,1246,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.4,0.04,0.03,0.07,0.04,0.07,2020/2021
48,Michy Batshuayi,BEL,FW,Crystal Palace,27,1993,10,4,428,0,1,0,0,0,0,0,0.21,0.21,0,0.21,0.6,0.6,1,0.13,0.22,0.35,0.13,0.35,2020/2021
49,Jan Bednarek,POL,DF,Southampton,24,1996,15,15,1260,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,2020/2021
50,Donny van de Beek,NED,MFFW,Manchester Utd,23,1997,10,2,257,1,0,0,0,0,0,0.35,0,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,2020/2021
51,Héctor Bellerín,ESP,DF,Arsenal,25,1995,13,13,1137,0,2,0,0,5,0,0,0.16,0.16,0,0.16,0.1,0.1,2,0.01,0.16,0.17,0.01,0.17,2020/2021
52,Saïd Benrahma,ALG,MFFW,West Ham,25,1995,7,2,276,0,2,0,0,0,0,0,0.65,0.65,0,0.65,0.4,0.4,0.5,0.13,0.15,0.28,0.13,0.28,2020/2021
53,Josh Benson,ENG,MF,Burnley,21,1999,4,2,172,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.09,0,0.09,0.09,0.09,2020/2021
54,Christian Benteke,BEL,FW,Crystal Palace,30,1990,11,5,493,3,0,0,0,2,1,0.55,0,0.55,0.55,0.55,2.8,2.8,0.7,0.51,0.12,0.63,0.51,0.63,2020/2021
55,Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,4,3,240,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.16,0.03,0.19,0.16,0.19,2020/2021
56,Sander Berge,NOR,MF,Sheffield Utd,22,1998,13,12,1016,1,1,1,1,4,0,0.09,0.09,0.18,0,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,2020/2021
57,Steven Bergwijn,NED,FWMF,Tottenham,23,1997,10,6,590,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.3,0.13,0.04,0.17,0.13,0.17,2020/2021
58,Bernard,BRA,FWMF,Everton,28,1992,5,1,211,1,0,0,0,2,0,0.43,0,0.43,0.43,0.43,0.1,0.1,0.4,0.06,0.15,0.21,0.06,0.21,2020/2021
59,Bernardo,BRA,DF,Brighton,25,1995,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
60,Ryan Bertrand,ENG,DF,Southampton,31,1989,14,14,1248,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.02,0.02,0.05,0.02,0.05,2020/2021
61,Yves Bissouma,MLI,MF,Brighton,24,1996,14,14,1239,1,0,0,0,4,1,0.07,0,0.07,0.07,0.07,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,2020/2021
62,Jayden Bogle,ENG,MF,Sheffield Utd,20,2000,1,0,37,1,0,0,0,0,0,2.43,0,2.43,2.43,2.43,0.1,0.1,0,0.14,0,0.14,0.14,0.14,2020/2021
